gene,synonyms
man2a1,"['mana2', 'manii', 'golim7', 'aman ii', 'man2a1']"
cd247,"['t3z', 'cd3h', 'cd3q', 'cd3z', 'tcrz', 'imd25', 'cd3zeta', 'cd3-zeta', 'cd247']"
rab29,"['rab7l', 'rab7l1', 'rab29']"
sdc1,"['sdc', 'cd138', 'synd1', 'syndecan', 'sdc1']"
fer1l5,['fer1l5']
kcnj15,"['irkk', 'kir1.3', 'kir4.2', 'kcnj15']"
dlgap4,"['dap4', 'dlp4', 'dap-4', 'sapap4', 'sapap-4', 'dlgap4']"
frmd4b,"['grsp1', '6030440g05rik', 'frmd4b']"
evi2a,"['evda', 'evi2', 'evi-2a', 'evi2a']"
znf582-dt,"['znf582-as1', 'znf582-dt']"
creb5,"['creb-5', 'crebpa', 'cre-bpa', 'creb5']"
lrrc3b,"['lrp15', 'lrrc3b']"
pdk4,['pdk4']
gpr37l1,"['etbrlp2', 'etbr-lp-2', 'et(b)r-lp-2', 'gpr37l1']"
als2cl,"['rn49018', 'als2cl']"
maff,"['u-maf', 'hmaff', 'maff']"
npdc1,"['cab', 'cab-', 'cab1', 'cab-1', 'npdc-1', 'npdc1']"
sod3,"['ec-sod', 'sod3']"
slco1a2,"['oatp', 'oatp-a', 'oatp1a2', 'slc21a3', 'slco1a2']"
cyp4x1,"['cypivx1', 'cyp4x1']"
galnt6,"['galnact6', 'galnac-t6', 'galnt6']"
osbpl3,"['orp3', 'orp-3', 'osbp3', 'osbpl3']"
txnip,"['thif', 'vdup1', 'arrdc6', 'hhcpa78', 'est01027', 'txnip']"
alas1,"['alas', 'mig4', 'alas3', 'alash', 'alas-h', 'alas1']"
pnpla5,"['gs2l', 'dj388m5', 'dj388m5.4', 'pnpla5']"
aldh1l1,"['fdh', 'fthfd', '10-fthf', '10-fthfdh', 'aldh1l1']"
spp1,"['opn', 'bnsp', 'bspi', 'eta-1', 'spp1']"
rn7sl1,"['7sl', '7l1a', 'rn7sl', 'rnsrp1', 'rn7sl1']"
enpp5,"['npp5', 'npp-5', 'enpp5']"
linc00487,['linc00487']
hspa6,"[""hsp70b'"", 'hspa6']"
pnck,"['bstk3', 'camk1b', 'pnck']"
h2bc18,"['hist2h2bf', 'h2bc18']"
mt1e,"['mt1', 'mtd', 'mt-1e', 'mt-ie', 'mt1e']"
nr2e1,"['tll', 'tlx', 'xtll', 'nr2e1']"
f3,"['tf', 'tfa', 'cd142', 'f3']"
gabrb1,"['dee45', 'eiee45', 'gabrb1']"
ccdc27,['ccdc27']
wwc1,"['kibra', 'hbebp3', 'hbebp36', 'memryqtl', 'ppp1r168', 'wwc1']"
slc3a2,"['4f2', 'cd98', 'mdu1', '4f2hc', '4t2hc', 'nacae', 'cd98hc', 'slc3a2']"
itm2a,"['e25a', 'bricd2a', 'itm2a']"
slc26a4,"['eva', 'pds', 'dfnb4', 'tdh2b', 'slc26a4']"
ctcfl,"['ct27', 'boris', 'ctcf-t', 'hmgb1l1', 'dj579f20.2', 'ctcfl']"
wdr86-as1,['wdr86-as1']
rabggtb,"['ggtb', 'rabggtb']"
card11,"['ppbl', 'benta', 'bimp3', 'imd11', 'carma1', 'imd11a', 'card11']"
fancb,"['fa2', 'fab', 'facb', 'faap90', 'faap95', 'fancb']"
linc00520,"['leene', 'lassie', 'c14orf34', 'lncrna00520', 'linc00520']"
